Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
74	7028	1	98	1.0	1.0277777777777777	98.0	97.61111111111111	74	7028	1	98	1.0	1.0422535211267605	98.0	98.98591549295774	ping
74	7028	1	98	1.0	1.0277777777777777	98.0	97.61111111111111	75	7126	1	98	1.0	1.0416666666666667	98.0	98.97222222222223	ping
75	7126	1	98	1.0	1.0273972602739727	98.0	97.61643835616438	75	7126	1	98	1.0	1.0416666666666667	98.0	98.97222222222223	ping
75	7126	1	98	1.0	1.0273972602739727	98.0	97.61643835616438	76	7224	1	98	1.0	1.0410958904109588	98.0	98.95890410958904	ping
76	7224	1	98	1.0	1.027027027027027	98.0	97.62162162162163	76	7224	1	98	1.0	1.0410958904109588	98.0	98.95890410958904	ping
76	7224	1	98	1.0	1.027027027027027	98.0	97.62162162162163	77	7322	1	98	1.0	1.0405405405405406	98.0	98.94594594594595	ping
77	7322	1	98	1.0	1.0266666666666666	98.0	97.62666666666667	77	7322	1	98	1.0	1.0405405405405406	98.0	98.94594594594595	ping
77	7322	1	98	1.0	1.0266666666666666	98.0	97.62666666666667	78	7420	1	98	1.0	1.04	98.0	98.93333333333334	ping
78	7420	1	98	1.0	1.0263157894736843	98.0	97.63157894736842	78	7420	1	98	1.0	1.04	98.0	98.93333333333334	ping
78	7420	1	98	1.0	1.0263157894736843	98.0	97.63157894736842	79	7518	1	98	1.0	1.0394736842105263	98.0	98.92105263157895	ping
79	7518	1	98	1.0	1.025974025974026	98.0	97.63636363636364	79	7518	1	98	1.0	1.0394736842105263	98.0	98.92105263157895	ping
79	7518	1	98	1.0	1.025974025974026	98.0	97.63636363636364	80	7616	1	98	1.0	1.0389610389610389	98.0	98.9090909090909	ping
80	7616	1	98	1.0	1.0256410256410255	98.0	97.64102564102564	80	7616	1	98	1.0	1.0389610389610389	98.0	98.9090909090909	ping
80	7616	1	98	1.0	1.0256410256410255	98.0	97.64102564102564	81	7714	1	98	1.0	1.0384615384615385	98.0	98.8974358974359	ping
81	7714	1	98	1.0	1.0253164556962024	98.0	97.64556962025317	81	7714	1	98	1.0	1.0384615384615385	98.0	98.8974358974359	ping
81	7714	1	98	1.0	1.0253164556962024	98.0	97.64556962025317	82	7812	1	98	1.0	1.0379746835443038	98.0	98.88607594936708	ping
82	7812	1	98	1.0	1.025	98.0	97.65	82	7812	1	98	1.0	1.0379746835443038	98.0	98.88607594936708	ping
82	7812	1	98	1.0	1.025	98.0	97.65	83	7910	1	98	1.0	1.0375	98.0	98.875	ping
83	7910	1	98	1.0	1.0246913580246915	98.0	97.65432098765432	83	7910	1	98	1.0	1.0375	98.0	98.875	ping
83	7910	1	98	1.0	1.0246913580246915	98.0	97.65432098765432	84	8008	1	98	1.0	1.037037037037037	98.0	98.8641975308642	ping
84	8008	1	98	1.0	1.024390243902439	98.0	97.65853658536585	84	8008	1	98	1.0	1.037037037037037	98.0	98.8641975308642	ping
84	8008	1	98	1.0	1.024390243902439	98.0	97.65853658536585	85	8106	1	98	1.0	1.0365853658536586	98.0	98.85365853658537	ping
85	8106	1	98	1.0	1.0240963855421688	98.0	97.66265060240964	85	8106	1	98	1.0	1.0365853658536586	98.0	98.85365853658537	ping
85	8106	1	98	1.0	1.0240963855421688	98.0	97.66265060240964	86	8204	1	98	1.0	1.036144578313253	98.0	98.8433734939759	ping
86	8204	1	98	1.0	1.0238095238095237	98.0	97.66666666666667	86	8204	1	98	1.0	1.036144578313253	98.0	98.8433734939759	ping
86	8204	1	98	1.0	1.0238095238095237	98.0	97.66666666666667	87	8302	1	98	1.0	1.0357142857142858	98.0	98.83333333333333	ping
87	8302	1	98	1.0	1.0235294117647058	98.0	97.67058823529412	87	8302	1	98	1.0	1.0357142857142858	98.0	98.83333333333333	ping
87	8302	1	98	1.0	1.0235294117647058	98.0	97.67058823529412	88	8400	1	98	1.0	1.035294117647059	98.0	98.82352941176471	ping
88	8400	1	98	1.0	1.0232558139534884	98.0	97.67441860465117	88	8400	1	98	1.0	1.035294117647059	98.0	98.82352941176471	ping
88	8400	1	98	1.0	1.0232558139534884	98.0	97.67441860465117	89	8498	1	98	1.0	1.0348837209302326	98.0	98.81395348837209	ping
89	8498	1	98	1.0	1.0229885057471264	98.0	97.67816091954023	89	8498	1	98	1.0	1.0348837209302326	98.0	98.81395348837209	ping
89	8498	1	98	1.0	1.0229885057471264	98.0	97.67816091954023	90	8596	1	98	1.0	1.0344827586206897	98.0	98.80459770114942	ping
91	8638	2	140	2.0	1.0340909090909092	140.0	98.1590909090909	90	8596	1	98	1.0	1.0344827586206897	98.0	98.80459770114942	ping
91	8638	2	140	2.0	1.0340909090909092	140.0	98.1590909090909	92	8736	2	140	2.0	1.0454545454545454	140.0	99.27272727272727	ping
92	8736	1	98	1.0	1.0337078651685394	98.0	98.15730337078652	92	8736	2	140	2.0	1.0454545454545454	140.0	99.27272727272727	ping
92	8736	1	98	1.0	1.0337078651685394	98.0	98.15730337078652	93	8834	1	98	1.0	1.0449438202247192	98.0	99.25842696629213	ping
93	8834	1	98	1.0	1.0333333333333334	98.0	98.15555555555555	93	8834	1	98	1.0	1.0449438202247192	98.0	99.25842696629213	ping
93	8834	1	98	1.0	1.0333333333333334	98.0	98.15555555555555	94	8932	1	98	1.0	1.0444444444444445	98.0	99.24444444444444	ping
94	8932	1	98	1.0	1.032967032967033	98.0	98.15384615384616	94	8932	1	98	1.0	1.0444444444444445	98.0	99.24444444444444	ping
94	8932	1	98	1.0	1.032967032967033	98.0	98.15384615384616	95	9030	1	98	1.0	1.043956043956044	98.0	99.23076923076923	ping
96	9072	2	140	2.0	1.0434782608695652	140.0	98.6086956521739	95	9030	1	98	1.0	1.043956043956044	98.0	99.23076923076923	ping
96	9072	2	140	2.0	1.0434782608695652	140.0	98.6086956521739	97	9170	2	140	2.0	1.0543478260869565	140.0	99.67391304347827	ping
97	9170	1	98	1.0	1.043010752688172	98.0	98.60215053763442	97	9170	2	140	2.0	1.0543478260869565	140.0	99.67391304347827	ping
97	9170	1	98	1.0	1.043010752688172	98.0	98.60215053763442	98	9268	1	98	1.0	1.053763440860215	98.0	99.65591397849462	ping
98	9268	1	98	1.0	1.0425531914893618	98.0	98.59574468085107	98	9268	1	98	1.0	1.053763440860215	98.0	99.65591397849462	ping
98	9268	1	98	1.0	1.0425531914893618	98.0	98.59574468085107	99	9366	1	98	1.0	1.053191489361702	98.0	99.63829787234043	ping
99	9366	1	98	1.0	1.0421052631578946	98.0	98.58947368421053	99	9366	1	98	1.0	1.053191489361702	98.0	99.63829787234043	ping
99	9366	1	98	1.0	1.0421052631578946	98.0	98.58947368421053	100	9464	1	98	1.0	1.0526315789473684	98.0	99.62105263157895	ping
100	9464	1	98	1.0	1.0416666666666667	98.0	98.58333333333333	100	9464	1	98	1.0	1.0526315789473684	98.0	99.62105263157895	ping
100	9464	1	98	1.0	1.0416666666666667	98.0	98.58333333333333	101	9562	1	98	1.0	1.0520833333333333	98.0	99.60416666666667	ping
101	9562	1	98	1.0	1.041237113402062	98.0	98.57731958762886	101	9562	1	98	1.0	1.0520833333333333	98.0	99.60416666666667	ping
101	9562	1	98	1.0	1.041237113402062	98.0	98.57731958762886	102	9660	1	98	1.0	1.0515463917525774	98.0	99.58762886597938	ping
102	9660	1	98	1.0	1.0408163265306123	98.0	98.57142857142857	102	9660	1	98	1.0	1.0515463917525774	98.0	99.58762886597938	ping
102	9660	1	98	1.0	1.0408163265306123	98.0	98.57142857142857	103	9758	1	98	1.0	1.0510204081632653	98.0	99.57142857142857	ping
103	9758	1	98	1.0	1.0404040404040404	98.0	98.56565656565657	103	9758	1	98	1.0	1.0510204081632653	98.0	99.57142857142857	ping
103	9758	1	98	1.0	1.0404040404040404	98.0	98.56565656565657	104	9856	1	98	1.0	1.0505050505050506	98.0	99.55555555555556	ping
