Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
64	4348	0	0	0.0	0.9142857142857143	0.0	62.114285714285714	3148	491476	49	7742	49.0	44.97142857142857	7742.0	7021.085714285714	voice
64	4348	0	0	0.0	0.9014084507042254	0.0	61.23943661971831	3148	491476	49	7742	49.0	44.97142857142857	7742.0	7021.085714285714	voice
64	4348	0	0	0.0	0.9014084507042254	0.0	61.23943661971831	3194	498744	46	7268	46.0	44.985915492957744	7268.0	7024.56338028169	voice
64	4348	0	0	0.0	0.8888888888888888	0.0	60.388888888888886	3194	498744	46	7268	46.0	44.985915492957744	7268.0	7024.56338028169	voice
64	4348	0	0	0.0	0.8888888888888888	0.0	60.388888888888886	3240	506012	46	7268	46.0	45.0	7268.0	7027.944444444444	voice
64	4348	0	0	0.0	0.8767123287671232	0.0	59.56164383561644	3240	506012	46	7268	46.0	45.0	7268.0	7027.944444444444	voice
64	4348	0	0	0.0	0.8767123287671232	0.0	59.56164383561644	3288	513596	48	7584	48.0	45.04109589041096	7584.0	7035.561643835616	voice
64	4348	0	0	0.0	0.8648648648648649	0.0	58.75675675675676	3288	513596	48	7584	48.0	45.04109589041096	7584.0	7035.561643835616	voice
64	4348	0	0	0.0	0.8648648648648649	0.0	58.75675675675676	3335	521022	47	7426	47.0	45.067567567567565	7426.0	7040.8378378378375	voice
64	4348	0	0	0.0	0.8533333333333334	0.0	57.973333333333336	3335	521022	47	7426	47.0	45.067567567567565	7426.0	7040.8378378378375	voice
64	4348	0	0	0.0	0.8533333333333334	0.0	57.973333333333336	3383	528606	48	7584	48.0	45.10666666666667	7584.0	7048.08	voice
65	4414	1	66	1.0	0.8552631578947368	66.0	58.078947368421055	3383	528606	48	7584	48.0	45.10666666666667	7584.0	7048.08	voice
65	4414	1	66	1.0	0.8552631578947368	66.0	58.078947368421055	3404	531837	21	3231	21.0	44.78947368421053	3231.0	6997.855263157895	voice
74	5030	9	616	9.0	0.961038961038961	616.0	65.32467532467533	3404	531837	21	3231	21.0	44.78947368421053	3231.0	6997.855263157895	voice
74	5030	9	616	9.0	0.961038961038961	616.0	65.32467532467533	3439	536576	35	4739	35.0	44.66233766233766	4739.0	6968.519480519481	voice
74	5030	0	0	0.0	0.9487179487179487	0.0	64.48717948717949	3439	536576	35	4739	35.0	44.66233766233766	4739.0	6968.519480519481	voice
74	5030	0	0	0.0	0.9487179487179487	0.0	64.48717948717949	3485	543844	46	7268	46.0	44.67948717948718	7268.0	6972.358974358975	voice
74	5030	0	0	0.0	0.9367088607594937	0.0	63.67088607594937	3485	543844	46	7268	46.0	44.67948717948718	7268.0	6972.358974358975	voice
74	5030	0	0	0.0	0.9367088607594937	0.0	63.67088607594937	3533	551428	48	7584	48.0	44.721518987341774	7584.0	6980.101265822785	voice
74	5030	0	0	0.0	0.925	0.0	62.875	3533	551428	48	7584	48.0	44.721518987341774	7584.0	6980.101265822785	voice
74	5030	0	0	0.0	0.925	0.0	62.875	3582	559170	49	7742	49.0	44.775	7742.0	6989.625	voice
74	5030	0	0	0.0	0.9135802469135802	0.0	62.098765432098766	3582	559170	49	7742	49.0	44.775	7742.0	6989.625	voice
74	5030	0	0	0.0	0.9135802469135802	0.0	62.098765432098766	3630	566754	48	7584	48.0	44.81481481481482	7584.0	6996.962962962963	voice
74	5030	0	0	0.0	0.9024390243902439	0.0	61.34146341463415	3630	566754	48	7584	48.0	44.81481481481482	7584.0	6996.962962962963	voice
74	5030	0	0	0.0	0.9024390243902439	0.0	61.34146341463415	3674	573706	44	6952	44.0	44.80487804878049	6952.0	6996.414634146341	voice
74	5030	0	0	0.0	0.891566265060241	0.0	60.602409638554214	3674	573706	44	6952	44.0	44.80487804878049	6952.0	6996.414634146341	voice
74	5030	0	0	0.0	0.891566265060241	0.0	60.602409638554214	3723	581448	49	7742	49.0	44.855421686746986	7742.0	7005.3975903614455	voice
74	5030	0	0	0.0	0.8809523809523809	0.0	59.88095238095238	3723	581448	49	7742	49.0	44.855421686746986	7742.0	7005.3975903614455	voice
74	5030	0	0	0.0	0.8809523809523809	0.0	59.88095238095238	3772	589190	49	7742	49.0	44.904761904761905	7742.0	7014.166666666667	voice
74	5030	0	0	0.0	0.8705882352941177	0.0	59.1764705882353	3772	589190	49	7742	49.0	44.904761904761905	7742.0	7014.166666666667	voice
74	5030	0	0	0.0	0.8705882352941177	0.0	59.1764705882353	3821	596932	49	7742	49.0	44.95294117647059	7742.0	7022.729411764706	voice
74	5030	0	0	0.0	0.8604651162790697	0.0	58.48837209302326	3821	596932	49	7742	49.0	44.95294117647059	7742.0	7022.729411764706	voice
74	5030	0	0	0.0	0.8604651162790697	0.0	58.48837209302326	3868	604358	47	7426	47.0	44.97674418604651	7426.0	7027.418604651163	voice
75	5096	1	66	1.0	0.8620689655172413	66.0	58.57471264367816	3868	604358	47	7426	47.0	44.97674418604651	7426.0	7027.418604651163	voice
